Request ID,Request Description
16-FOI-00147,"Request seeks records described below: 1. All Form Ds in effect on the Main Line - Philadelphia to Washington (PW) between Zoo and Wilmington on April 2, 2016 and April 3, 2016. 2. All Temporary Speed Restriction Bulletins (TSRBs) in effect for the same territory and dates. 3. Any documentation of foul time granted over the same territory and dates. (Date Range for Record Search: From 04/02/2016 To 04/03/2016)"
16-FOI-00148,"Request seeks records related to bid solicitation DOC676827, DOC679396"
16-FOI-00149,Request seeks records regarding bid solicitation DOC 678832
16-FOI-00150,Request seeks copy of Purchase Cardholders.
16-FOI-00151,Request seeks electronic documents for Amtrak project X103-0331-2016 - 103 Tyler Asphalt Paving Chicago Terminal Project.
16-FOI-00152,Request seeks bidding documents for 103 Tyler Asphalt paving Michigan West Project.
16-FOI-00153,Request seeks records regarding the maintenance of Amtrak train 681.
16-FOI-00154,Questions regarding Sanford Track Rehabilitation
16-FOI-00155,"Request seeks copies of the complete bidding documents for the Sanford Track Rehabilitation Project, which includes: Addenda, Bidders List, as well as the estimated project value."
16-FOI-00156,Request seeks a copy of the contract between Amtrak and Mark I.
16-FOI-00157,Records request seeking Amtrak Police Dept. response to Political Demonstrations.
16-FOI-00158,"Meeting Minutes pertaining to ""Concrete Casing below Eastern Rail Yard Section of John D. Caemmerer West Side Yard"" Project meetings attended by Tutor Perini Corporation, Frontier-Kemper Constructors, and Amtrak and any Amtrak Consultants, between April 1, 2014 and November 30, 2014. (Date Range for Record Search: From 4/1/2014 To 11/30/2014)"
16-FOI-00159,"Project: Concrete Casing below Eastern Rail Yard Section of John D. Caemmerer West Side Yard Requesting Prime Contract for Project with Tutor Perini, Contract between NRPC and LiRo Group or LiRo Engineers, and requisitions, applications or requests for payment received from Tutor Perini in connection with the Project for periods of June, September and November 2014"
16-FOI-00160,"ACLU Request for arrests made by APD at 30th Street Station, pat-down and search protocols for APD, use of force rules for APD at 30th street station, complaints lodged against APD at 30th street station."
16-FOI-00161,"Request seeks Route Information/timetables for trains that service the California Pacific Coast, Santa Barbara, Los Angeles, San Diego, San Francisco. Request also seeks railroad newspapers/magazines, contact info for said newspaper/magazine publishers, and information relating to HSR Standing in California."
16-FOI-00162,Requesting name and contact information for the company that was the successful bidder of the 30th Street Station (Philadelphia) White Room Project.
16-FOI-00163,Requesting 2015 Amtrak Employee Salaries.
16-FOI-00164,"Requests information and records pertaining to PCB's (polychlorinated biphenyls) at Amtrak's Penn Station in New York, NY."
16-FOI-00165,"Requests copies of any and all documents and/or incident reports of accidents occurring at Amtrak, Illinois Terminal, 45 E. University Avenue, Champaign, Illinois 61280 - from Jan 1, 2014 to May 12, 2016. In connection with requestor's representation of Tyrone Montgomery, who was injured on April 7 2016 after falling from a playform outside the 2nd floor of the address above. (Date Range for Record Search: From 1/1/2014 To 5/12/2016)"
16-FOI-00166,DUPLICATE - Requesting Radio transmission recordings that were culled by the NTSB in the investigation of derailment of Amtrak Train Northeast Regional Train #188
16-FOI-00167,Requesting Radio Transmission recordings that were culled by the NTSB in the investigation of the derailment of Amtrak Train Northeast Regional Train #188
16-FOI-00168,"Search Requests All Grant Numbers awarded by Amtrak from 2012 to 2016 to the Corporation for Public Broadcasting, and a list of all grant numbers awarded by Amtrak from 2012-2016 to numerous listed broadcasting entities and stations. (Date Range for Record Search: From 1/1/2012 To 5/18/2016)"
16-FOI-00169,"Requesting daily totals for passengers boarding and deboarding at Ann Arbor, MI Station for 2011, 2012, 2013, 2014, and 2015. (Date Range for Record Search: From 1/1/2011 To 12/31/2015)"
16-FOI-00170,"Requesting Electronic copies of materials related to NYC Future Planning - All correspondence, written and electronic, notes and minutes from meetings, presentations or discussions, studies or analysis, visual aids and maps, concerning Old Saybrook, Middlesex County, Connecticut or Old Lyme, New London County, Connecticut. Specifically, topics including (but not limited to): A) a bridge, tunnel or aerial structure crossing the Connecticut river, B) a rail route from Old Saybrook to Kenyon, Washington County, Rhode Island, C) Impacts, financing, mitigation, utilities or development related to such a rail route or crossing."
16-FOI-00171,"Requesting all previously released FOIA Logs, covering any and all time periods. Includes requests, appeals, lawsuits, court orders, congressional requests, proactive releases, etc."
16-FOI-00172,"Requesting bid results from shortlisted firms - if possible, the amount of the bid submitted by the winning proposer and any others that Amtrak might release. Also requesting a copy of any proposal documents that are available. Amtrak RFP X072-5205-0001 Sunnyside Yard Platform Restoration."
16-FOI-00173,PR2000788954 Exterior Masonry Restore Niles MI
16-FOI-00174,"X09292015-001 - For Professional Architectural and Engineering Services for the Washington Terminal Yard HSR Infrastructure Improvements RFQ due 10/31/2015 at 5 pm ET - Requesting Name of awarded design firm and address, estimated construction value, anticipated bid date, anticipated start and end of construction dates."
16-FOI-00175,Contract bid information - Bid Tabulations and Name of Awarded Firm for X097-15146-001 Forest Hills Repair/Rehab of Fascia Beam - Milepost 224.25 Northeast Corridor Amtrak 1/25/2016
16-FOI-00176,"Requesting Passenger Ticket Information from 2011-2016 for Paul Terzulli, including all arrival and departure times, Especially Aberdeen Station (Date Range for Record Search: From 01/01/2011 To 06/06/2016)"
16-FOI-00177,"Requests FOIA Guidelines for Amtrak, Appeals info for FOIA requests."
16-FOI-00178,"All communications logged/tracked as congressional correspondence that has been exchanged between the Chairman and US Senator Tim Kaine (D-VA) since January 1, 2015"
16-FOI-00179,Requesting bid documents for PR 2000788527 - Pollution Control Building Roof and PR 2000791054 - Light Upgrades Grand Forks
16-FOI-00180,"Requests machine readable data providing geospatial coordinates for all rail stations and where available, parking lots. Esri SHP format, but other formats such as WKT, WTB, JSON, geojson are acceptable."
16-FOI-00181,Requesting copies of any and all contracts Amtrak has with Deloitte/Deloitte Consulting from FY 2011 to present. (Date Range for Record Search: From 10/1/2010 To 6/6/2016)
16-FOI-00182,Requesting Amtrak's Ethical Conduct and conflict of Interest Policy
16-FOI-00183,"Requesting an Unredacted copy of an incident report for Mikal Hodge, who is an employee who was injured in a motor vehicle accident."
16-FOI-00184,Requesting a copy of appeal of FOIA request 14-FOI-00157 and a copy of the appeal decision.
16-FOI-00185,Requesting Hudson Tunnel Project information.
16-FOI-00186,"Requesting information pertaining to an incident on Train 591 involving a passenger being ejected and injured on January 12, 2016."
16-FOI-00187,"REVISED Request seeks the records described below: 1. The locomotive event recorder extract/data in the finest detail that the system is capable of (i.e., non-compressed form) starting 500 feet prior to the whistle post. Request also seeks every frame and every sensor with each wheel revolution. 2. The video recording from the video recorder in the cockpit starting 500 feet prior to the whistle post until the locomotive came to a rest. Request seeks the recording in its native, non-encrypted format."
16-FOI-00188,"Requesting all current and future Amtrak Schedules, fares, and stop/route alignments in a machine-readable format, preferably GTFS format."
16-FOI-00189,"Requesting an and all documents related to the derailment of an Amtrak Cascades Train in Tukwila, Washington on June 26, 2016."
16-FOI-00190,"Jan 15, 2013 to Present - Copy of any and all investigative reports, documentation, or files concerning vandalism or damage of any type to an Amtrak Barrier Fence located at or near Mark Twain's Estate Sales Antiques & Furniture Restoration at 650 University Avenue, Under the University overpass, west of 4th Street in Berkley, California 94710 - as documented or filed by any official of Amtrak, including but not limited to Railroad police railroad inspectors or railroad agents."
16-FOI-00191,"Requesting information regarding Concessions outlets at Penn Station New York from 2004 to present - all leases and contracts, health inspections, audits, evaluations, sales figures, bids, rent information, etc for food and beverage with Creative Food Group LLC, Primo Cappuccino Inc., Le Bon Cafe, and Jamba Juice. (Date Range for Record Search: From 1/1/2004 To 7/5/2016)"
16-FOI-00192,"Requesting copy of a ticket and any affiliated records for trip starting Sept. 6, 2001 in California, then to Chicago and arriving in New York City on Sept. 9, 2001."
16-FOI-00193,DUPLICATE REQUEST
16-FOI-00194,Requesting unredacted copy of Case # 16-004984 as a FOIA request.
16-FOI-00195,Requesting Plans and Specifications in electronic form for the New England Switch heater Replacement Project bidding project.
16-FOI-00196,"Requesting any and all data collected about individual police stops and/or searches by officers employed by APD; any and all data collected on the ethnic race/age of people who are stopped and/or searched, and the names of officers who conducted the individual police stops and/or searches; any and all data collected about probably cause for each of the individual police stops and/or searches; any and all complaints made against individual officers. (Date Range for Record Search: From 1/1/2012 To 7/14/2016)"
16-FOI-00197,Requesting Amtrak GTFS (General Transit Feed Specification) file with rail schedules corresponding to the current date (July 2016). Seeking electronic copy of information Amtrak already possesses.
16-FOI-00198,Requesting Awarded Vendor and Pricing information for Solicitation WS251931 - Furnish and Deliver Diesel Exhaust Fluid.
16-FOI-00199,"Requesting Any and all payment bonds issued by Five Star Electric Corp. in connection with the above-referenced project, and any and all payment bonds issued by any other person or entity in connection with Five Star Corp's Path Hall Construction Project - Contract No. 9844-003 and Contract No. S9891-002"
16-FOI-00200,"Requesting locomotive video, investigative reports, photos and other materials related to accident involving Tyler Wayne Beischl - date of accident June 20, 2014."
16-FOI-00201,"Requesting Copies of all records relating to - Options for Repair, replacement or rehabilitation of RR Bridge in Norwalk, Connecticut, aka Walk Bridge - discussions of costs, funding availability, environmental impacts, engineering issues, communications with state, local and federal entities; feasibility of fixing Walk Bridge in a closed position at it's current height, including discussions of costs, funding availability, environmental impacts, engineering issues, communications with state, local and federal entities; Social and Economic Impact for the communities adjacent to the Walk bridge for each option considered for repairing, replacing or rehabilitating the Walk Bridge; Media coverage of discussions regarding the repair, replacement and/or rehabilitation of the Walk Bridge, including but not limited to the evaluation and response to such coverage. Requesting any and all applications, advisory opinions, permits, correspondence, drafts, written comments, inter-agency or intra-agency memoranda, letters, meeting agendas, meeting minutes, notes, calendar entries, maps, data, surveys, photos, email and any attachments thereto, studies, recommendations and/or reports relating to the aforementioned topics."
16-FOI-00202,"Tairia Lee Accident Info from 7/6/2016 at P/C 25th Street, West Palm Beach Florida - Requesting: APD Report and documentation of accident, train consist, train orders issued to crew at departure from CSX yard in Miami, Dispatcher bulletins issued to train crew at department from CSX yard in Miami, changes to consist, orders and dispatcher bulletins after departure from CSX yard in Miami, Photos/Videos of the subject accident or investigation following the accident, printout of event recorder data from lead unit, inspection report and brake test prior to train departure, inspection report/photos of post-crash collision of lead unit/train consist, lead unit/trailing unit, maintenance records for the past three years, train crew statements of Russell Griffin, Jr. and James Knox, employee files of train crew, Russell Griffin, Jr. and James Knox."
16-FOI-00203,"Requesting Contract/Terms and Conditions that Amtrak entered into following the selection process initiated by Amtrak's Request for Proposals (RFP) #X0162282 from October 2012 - particularly: Contract start date and end date, Contract renewal options, total contract price, statement of work, scope and type of service level agreement, service level management, pricing schedule."
16-FOI-00204,"Requesting records pertaining to work orders issued and executed for - Northeast Corridor Train Line, within Newark Penn Station, and in the State of New Jersey; Between tracks 4 and 5 at Newark Penn Station on track bed traversing Newark Penn Station; Routine Maintenance and Special Maintenance records pertaining to work involving clearing storm-water - rain water drains within the track bed and or engineering evaluation reports refarding the functioning of the drainage on the track-bed. (Date Range for Record Search: From 1/1/2014 To 8/1/2016)"
16-FOI-00205,"Requesting Unliquidated obligations - Unpaid Checks, Unreconciled Checks, Unclaimed Checks, Undelivered Checks, Outstanding Credit Balances, Checks Exempt from Unclaimed Property Reporting. Requesting any relevant data in excel format."
16-FOI-00206,"Requesting Payrolls for Project known as 30th Street Station Platform Lighting (IFB No. X06917216). Any and All Certified Payrolls for Wescott Electric Company and the certified payrolls for all of their subcontractors from the start of the project up to and including July 31, 2016 or most recent payroll sheets in Amtrak's possession."
16-FOI-00207,"Requesting travel receipt for trips between BWI to Philadelphia (May 11) and from Philadelphia to BWI (May 13, 2014) - member number is 7015898799 - uncertain whether member number was used for ticket purchase."
16-FOI-00208,Requesting copies of all pictures and videos of Accident involving Amtrak train 381 on 4/14/2016.
16-FOI-00209,"Requesting Total Booking figures for period of January 1, 2011 through August 1, 2016 for the following Origins Bookings and Destinations Bookings in California: McKinleyville (MKV), Arcata (ARC), Eureka (EKA), Fortuna (FTA), Scotia-Rio Dell (RDS), Garberville (GBV), Leggett (LEG), Laytonville (LTV), Willits (WTS), Ukiah (UKH), Cloverdale (SLV), Healdsburg (HEA), Santa Rosa (SRC), Rohnert Park (RPC), Napa (SAP), Vallejo (VAL) - In two spreadsheets, one for origins, one for destinations. (Date Range for Record Search: From 01/01/2011 To 08/01/2016)"
16-FOI-00210,"Monthly Performance Reports for All Months of 2001, 2003, and 2008 via PDF"
16-FOI-00211,"Documents, Plans, Specifications, RFP's, Requests for Qualification, or Addendums, and plan holders list for - 103 Tyler Hamden CT MOX Base Paving Sourcing Event - X103-0728-2016, DOC690263"
16-FOI-00212,"Requesting copies of any plans, current or future, for expansion of existing Right of Way for the Coast Starlight Rail Line around the area of Carpentaria, CA"
16-FOI-00213,"Requesting copies of correspondence, paper and electronic, from Congressman Michael McCaul (TX-10) or his staff and the response to the correspondence from January 2005 through present. Requesting copies of all paper and electronic correspondence from Republican/Majority Staff of the House Committee on Homeland Security since January 1, 2013 or from Congressman Michael McCaul in his role as Chairman of the House Committee on Homeland Security. (Date Range for Record Search: From 1/1/2005 To 8/16/2016)"
16-FOI-00214,Requesting Settlement Agreements for Baen and Brook v. NRPC and Passamano v. NRPC - Train 188 Cases
16-FOI-00215,"Requesting the name of the conductor of the train traveling thru charlotte NC at 8:45 and 8:53 on August 23, 2016, who was blowing their train whistle much more loudly than they should have at those times"
16-FOI-00216,"Requesting Amtrak's Workforce Diversity consolidation Report from 2013-2015; Amtrak's EEO Report from 2013-2015; Amtrak's EEO Report from 2013-2015 Individual Establishment Report-Type 4 for Wilmington (NRPC) located at 4001 Vandever Ave, Wilmington, Delaware, 19802 (Date Range for Record Search: From 1/1/2013 To 12/31/2015)"
16-FOI-00217,"Requesting Applications for Federal Funding directly or indirectly related to the operation of the San Diego County, California Sprinter and Coaster Lines; and Any protective orders filed under Federal Transit Act 49 USC Section 5333(b)(2) (formerly Section 13(c) of the Urban Mass Transit Act)."
16-FOI-00218,"Requesting copies of the most recent safety inspection of all Amtrak train stations in the states of IL, IN, WI, and MI, including but not limited to, structures, walkways, and staircases and any recommendations made by the inspector and whether Amtrak followed those recommendations."
16-FOI-00219,"Request for any memos, presentations, or internal or external communication since January regarding the federal lawsuit filed by the Massachusetts Bay Transportation Authority against Amtrak in January 2016, dating back to January 1, 2016."
16-FOI-00220,"Request for Amtrak's breakdown of Job Titles under each Job Categories, and Amtrak's salary range for each Job Title for years 2013, 2014, and 2015, for National and Wilmington, DE locations. (Date Range for Record Search: From 01/01/2013 To 01/01/2016)"
16-FOI-00221,Request for copy of the most recent Amtrak Service and Standards Manual in electronic format.
16-FOI-00222,Requesting a copy of the Amtrak board meeting minutes that approved the August 2016 contract with Alstom to supply 28 next-generation high-speed train sets.
16-FOI-00223,Request for Amtrak's current contract with the Brotherhood of Locomotive Engineers and Trainmen and all policies and procedures governing employment and employee discipline.
16-FOI-00224,Request for the plans and specifications for the Baltimore Tunnel Outdoor Lighting Inverters Sourcing Event bidding project.
16-FOI-00225,"Request for videotape of Robin Putnam exiting train at stop in Salt Lake City at 3:00am on July 8th, 2012."
16-FOI-00226,"Request for copies of videotapes, investigation reports, documents and photographs taken in connection with Amtrak Train Engine P42DC accident on 8/24/15 resulting in the death of Toriano Dempsey."
16-FOI-00227,"Request for documents related to the Amtrak construction project known as the ""Parking Lot Asphalt Paving Sourcing Event"" located in Hammond, IN with a bid opening date of 8/10/16, specifically copies of the complete bid packages submitted by all contractors who responded to the solicitation and the awarded bidder's name and awarded contract dollar amount."
16-FOI-00228,"Request for any records related to alleged injury on September 4, 2016 involving Matther Bettine as he departed from the Toledo Station outbound to Pittsburgh as he got on a train that departed Toledo at 11:49pm."
16-FOI-00229,Request for copy of ticket for Robin Putnam and surveillance video or photographs of Putnam on the train.
16-FOI-00230,"Request for information for solicitation, number DOC684831 District of Columbia Seeks Vision Benefits Services 6/17/2016 - contact information of the organization(s) awarded a contract as a result of this solicitation, contract award date, contract award period, contract award amount, list of additional organizations that responded to this RFP, and copy of the winning proposal."
16-FOI-00231,"Request for all service contracts relating to any and all fiber optic internet hotspots along the Northeast Corridor, specifically from Trenton to New London over the past 4 calendar years through December 31, 2016; in addition, all contract, contact information, and operator information in specific relation to the fiber optic internet hotspot located across the street from 348 Dyckman Street New York, NY 10034 over the past 4 calendar years through December 31, 2016."
16-FOI-00232,DUPLICATE
16-FOI-00233,"Request for all pertinent documents related to Amtrak's acquisition of GE Genesis locomotives (P42DC, P40DC, P32AC), including official contracts and pricing information for their purchase."
16-FOI-00234,Request for lost property police report lost property reported 8/26/2016.
16-FOI-00235,Request for annual rail passenger-miles for the Acela Express and NE Regional train services from 2006-2015; annual revenue and ridership of Acela Express and NE Regional by each different classes of fare from 2006-2015; price history of Acela Express and NE Regional fares from 2006-2015; the annual food and beverage revenue from Acela Express and NE Regional trains from 2006-2015; any studies or surveys that have been undertaken to understand the journey purposes of travelers using the Acela Express.
16-FOI-00236,"Request for a complete copy of any and all police/incident reports of the March 13, 2016 incident involving Carnell Poellinetz at Cimarron, KS."
17-FOI-00001,"Bid tabulation for the Hamden, CT MOW Backup Generator Sourcing Event project"
17-FOI-00002,Request summarized aggregated amount of payments by Amtrak to its 20 largest contractors (ranked by the dollar amount of payments) in fiscal 2016.
17-FOI-00003,Mr. Gulzar is requesting an unredacted copy of police report.
17-FOI-00004,Would like to obtain an unredacted copy of the police report.
17-FOI-00005,Amtrak traffic information (passenger rail traffic parameters) at overpass 520041P at Seneca St.
17-FOI-00006,Amtrak traffic information ( passenger rail traffic parameters) at overpass 520041P at Seneca St.
17-FOI-00007,"Subpoena Duces Tecum; non-disclosure valid until Sept. 15, 2016 deposition date for Amtrak."
17-FOI-00008,Information on possible employee name Paul Ronald Phillips
17-FOI-00009,"Seeking social media ( Facebook, Instagram, Twitter, Google and etc.) monitoring and network investigative software."
17-FOI-00010,Amtrak application to the Federal Railroad Administration's Railroad Rehabilitation and Improvement Financing Program that resulted in the $2.45 billion loan and all supporting documents submitted by Amtrak.
17-FOI-00011,Duplicate Request. Original request received 10/4/2016.
17-FOI-00012,"Contract, policy, regulation, any correspondence and etc. for operation of a taxi stand or passengers pick up at Baltimore Penn Station."
17-FOI-00013,Requester seeks ticket information.
17-FOI-00014,"Amtrak/ Ariba Bid Entitled: Doc693201 040 Moore Ni Cad Battery Sourcing Event Any and all records and correspondence or the rail passenger fleet and closed on October 11, 2016."
17-FOI-00015,Duplicate lost police report for incident 16/010817.
17-FOI-00016,Requester seeks Police property report.
17-FOI-00017,FOIA of Rakhmatulla Asatov regarding Amtrak OIG employees who received special deputation from the U.S. Marshall Service: OIP No. DOJ-2016-004585 (DAG)
17-FOI-00018,"Amtrak Police report for train #135, incident date 10/16/2016 at East Greenwich, Rhode Island where teen was struck by train."
17-FOI-00019,Mother of victim requesting any and all written documentation related to Amtrak case# 16-0009741.
17-FOI-00020,"Bid tabulations and award notification for ASDP project located in Savannah, GA- X08242016-001"
17-FOI-00021,Amtrak Act Appeals Log for the time period since 2009.
17-FOI-00022,Media seeking Amtrak Police Report case number 16-013055.
17-FOI-00023,"Any plan, sections or details of the portion of the Acela Express that runs along East Termont Avenue between Cross Bronx Expressway and Bronxdale Avenue in Bronx, NY."
17-FOI-00024,"All releasable surveillance footage of case # 16-013055 that occurred in Providence, RI."
17-FOI-00025,DUPLICATE - Documents regarding RFP 662484 Janitorial Services at 30th Street Station Philadelphia.
17-FOI-00026,Request seeks: A copy of the Amtrak overview document concerning the plans for the Next Generation High-Speed Trainset Project. Copy of the Amtrak document describing the desired features of the Next Generation High-Speed Trainset equipment.
17-FOI-00027,Request seeks a copy of the most recent status report on the construction and implementation of the dedicated trackside broadband Wi-Fi network on the NE Corridor.
17-FOI-00028,Request seeks a copy of the internal Amtrak document describing the operating condition of the 500+ stations that make up the Amtrak national network of rail stations.
17-FOI-00029,"Request seeks: Copies of all contracts between Amtrak and Ecova, Inc. in effect from October 1, 2012 to the present. Any evaluations performed by Amtrak (or outside parties working at Amtrak's direction) from January 1, 2007 to the present that sought to quantify any savings realized by Amtrak's use of Ecova for energy management and/or other purposes."
17-FOI-00030,Request seeks a long/database/listing of all drug and alcohol test violations by Amtrak employees in FY 2013-2016.
17-FOI-00031,Request seeks documents regarding RFP No. 662484 Janitorial Services
17-FOI-00032,"Request seeks copies of all records related to Gregory Slate and names of employees on the train from Washington, DC to Jacksonville, FL, the name of the employee who summoned the police to the train station in Fayetteville, NC, the resultant police reports, names of officers involved, and all other records."
17-FOI-00033,"Request seeks any and all documents that Amtrak retains regarding the 2-16 Republican National Convention held in Cleveland, OH."
17-FOI-00034,Requester seeks accident investigation information regarding Ramon Reynolds.
17-FOI-00035,Requester seeks certified payroll sheets for Energy Conservation Project that FSG and Global Energy Services are working on or have completed up until this time.
17-FOI-00036,Request seeks records regarding IFB X-055-16265-037.
17-FOI-00037,Request seeks November 14 bid opening on the Amtrak Chicago Union Station Parking Garage Project.
17-FOI-00038,Requester seeks all records pertaining to Amtrak 2016 salaries.
17-FOI-00039,Request seeks bid results for NY Penn Station Fan Room.
17-FOI-00040,"Request seeks an un-redacted version of Amtrak Police Report - incident that occurred on March 28, 2010."
17-FOI-00041,"Requester seeks video pertaining to the case involving Jason Rodriquez, incident date September 15, 2016. Case No. 201600007304."
17-FOI-00042,Requester seeks copy of Amtrak phone-blocking policy.
17-FOI-00043,Requester seeks bid results/tabulations for RFP WS254172
17-FOI-00044,Requester seeks a copy of the Amtrak agency briefing materials related to the Presidential transition for Agency Review Teams or agency Landing Teams.
17-FOI-00045,Request seeks the amount of money gives to subsidize the Illinois Zephyr/ Carl Sandburg service from Chicago to Quincy. Request also seeks the papers regarding month to month profit coming off these 2 trains.
17-FOI-00046,Requester seeks travel documentation from September 2013 - May 2014 between BWI and NY Penn Station.
17-FOI-00047,"Request seeks the records described below: 1. A copy of the existing survey from the year 2003 of a high-speed-turn easement located on the Amtrak Michigan Central Railroad, situated east of North Whittaker Street and North of East Mechanic Street (near 215 E. Mechanic St.), New Buffalo, MI 49117. 2. A copy of the re-survey of the same high speed turn easement completed in 2015. 3. A copy of the requirements/regulations for the width (for safety) for high-speed turn easements in New Buffalo, MI and the contact information of the authority or individual who oversees these regulations."
17-FOI-00048,"Request seeks the records described below: A list of all incidents involving fights, assaults, or other physical altercations recorded and/or investigated by Amtrak Police at Washington Union Station (in the District of Columbia) between January 1, 2013 and December 31, 2016.  -All Amtrak Police incident reports on fights, assaults, or other physical altercations at Washington Union Station (in the District of Columbia) between January 1, 2013 and December 31, 2016."
17-FOI-00049,Request seeks records regarding Amtrak Project at Rensselaer Station
17-FOI-00050,Request seeks records on Muhammad Simboli.
17-FOI-00051,"Requests seeks (2 FOIA request): Correspondence by and between Amtrak and the Western Division of the Southern Pacific Railroad regarding asbestos abatement specifically at West Oakland Yard In California for the time period of 1971-2011. Documents and Agreements by and between Amtrak and Southern Pacific Railroad at West Oakland yard to lease and repair trains, the sale or lease of land, and for the hire and or transfer of employees."
17-FOI-00052,Requester seeks personnel records regarding Jeffrey D. Garrett.
17-FOI-00053,"Request seeks the records described below: 1.	the Station Service Standards and Operations Manual 2.	the Reservation, Ticketing and Station Procedures (RTSP) Manual 3.	the Amtrak Procurement Card Manual 4.	the Amtrak Crew Base Manual 5.	the Amtrak Capital Projects Management Requirements Manual 6.	the Amtrak Service Standards Manual"
17-FOI-00054,"Request seeks all current and (where available) future Amtrak schedules, fares, and stop/route alignments in a machine-readable format, preferably GTFS (the General Transit Feed Specification), but if this is not available, whatever machine-readable data is available."
17-FOI-00055,Amtrak's police use of cell site simulators within Michigan.
17-FOI-00056,"Request seeks the records described below:  -All documents, including letters, faxes, emails, and any other communications regarding any train strikes or near misses between the Edison, NJ train station and the New Brunswick, NJ train station from January 1, 2012 until December 5, 2016.  -All police reports regarding any injuries or deaths that occurred between the Edison, NJ train station and the New Brunswick, NJ train stations from January 1, 2012 until December 5, 2016.  -All documents, including letters, faxes, emails, and any other communications regarding any reports of trespassing at any point between the Edison, NJ train station and the New Brunswick, NJ train station from January 1, 2012 until December 5, 2016. -Information on the location of milepost 30 in Highland Park, NJ (i.e nearest cross streets, GPS location, distance from Edison or New Brunswick train station."
17-FOI-00057,"Request seeks access to documents and emails communications relating to an incident that occurred on Dec. 7, 2016 involving a Capitol Corridor train #527 when it was westbound between Sacramento and Davis. - Amtrak and Capitol Corridor incident reports about the incident - Amtrak review/investigation reports about the incident - Documents disclosing what administrative or other actions have been taken as a result of the incident, including actions taken involving the Amtrak personnel on the train, and including policy, procedure or other train operations changes proposed as a result of the incident - emails from and to Amtrak officials discussing the incident, including internal, as well as email communications with Union Pacific, Capitol Corridor Joint Powers Authority, and California Department of Transportation"
17-FOI-00058,Request seeks the incidents for the incident numbers listed below. 16-012117 16-011093 16-010773 16-004211 16-001905 16-004135 15-007883 15-005750 14-005581
17-FOI-00059,"Request seeks black box downloads, GPS locations related to Amtrak train 686(15) and Amtrak train 686(21)"
17-FOI-00060,"Request seeks records regarding Amtrak train and truck collision on November 10, 2015 at Loneoak Road and South First Street, King City, Monterey County, California."
17-FOI-00061,Request seeks a copy of the Service Standards for Train Service & On-board Service Employees Manual.
17-FOI-00062,Request seeks records regarding responses to RFP and RFQ to Penn Station RFP
17-FOI-00063,Request seeks information on Amtrak's vegetation management programs.
17-FOI-00064,"Requester is seeking OJT requirements in Amtrak construction contracts. Specifically, Middlesex Corporation"
17-FOI-00065,"Requester seeks info on plans and specs for the ADA Station Program located in Hastings, X01042017-002."
17-FOI-00066,"All Investigative correspondence emails to/from Detectives Robert Hanson, Paul O'Mara, Eddie Torres, DJ Stadler, Christopher Purcell, Ronald Egidio, Anna Boyer, Brian Decoteau and Fabian Santos in re: alleged vandalism of Amtrak property by requester."
17-FOI-00067,"Requester is seeking cost sharing agreement between the National Railroad Passenger Corp. (Amtrak) and the states of Connecticut, Massachusetts, and Vermont for the operation of Amtrak's Vermonter service as described in the attached press release from the Connecticut Department of Transportation"
17-FOI-00068,Requester is seeking info for the approximate value of the battery compartment of Amtrak car 25047.
17-FOI-00069,Requester is seeking a copy of the labor contract that established the terms of employment for Brandon Bostonian.
17-FOI-00070,Requester is seeking the Amtrak GTFS file with rail schedules corresponding to the current date (January 2017)
17-FOI-00071,"Requester seeks any internal memo, review, or document in re: facial recognition software and equipment proposed to be tested at New York City crossing points, that was referenced by Gov. Andrew Cuomo in his Oct. 5 speech"
17-FOI-00072,"Requester is seeking New York and Philadelphia Amtrak management employee salaries of the Chief Engineer (in Philadelphia), all Deputy Chief Engineers (in NY and PA), all Division Engineers (in NY and PA), all Assistant Division Engineers, All Deputy Division Engineers (in NY and PA) and positions with the word ""Director"" in the position title (in NY and PA)."
17-FOI-00073,"Requester is seeks a list of schools that participated in the Schools on Train program for the calendar year 2015 in Vancouver, WA"
17-FOI-00074,"Requester seeks a copy of records, electronic or otherwise of the most recent version of the Service Standards Manual, Reservation, Ticketing and Station Procedures (RTSP) manual, Crew Base Manual, Station Service Standards and Operation manual."
17-FOI-00075,"Requester is seeking access and copies of any and all scoresheets or written evaluations produced by Amtrak staff (or consultants retained by Amtrak) of the ""Statement of Qualifications"" responsive to the ""Request for Qualification related to a Master Development Agreement for the Chicago Union Station development project"", used to determine the list of shortlisted Proposers. ""Statement of Qualifications"" (including Volumes 1, 2, and 3) submitted by shortlisted Proposers in response to the ""Request for Qualification related to a Master Development Agreement for the Chicago Union Station development project"", issued by Amtrak on May 20, 2016."
17-FOI-00076,"Requester is seeking current operating/trackage right use agreement, or other document(s) which allows operation of Amtrak ""Downeaster"" trains between Brunswick<ME and Boston, Massachusetts on tracks owner/controlled by Pan Am Railways (or its other corporate entities: Boston & Maine Corp/R.R., Maine Central R.R., Springfield Terminal, Portland Terminal, Guilford Rail System, Pan Am Southern)."
17-FOI-00077,Request seeks bid results for the Drilling of Test Borings - Shoreline East Electrification - 3696986
